problem,algorithm,params,best fitness,best iterations,best time,best fevals
CONTPEAKS,RHC,"[]",95.0,4880,0.0065292069999999995,4891.0
CONTPEAKS,MIMIC,"['100', '50', '0.7']",78.0,4280,19.955213295,471800.0
CONTPEAKS,SA,"['0.55']",99.0,4110,0.00407936999999,4121.0
CONTPEAKS,GA,"['100', '50', '30']",91.0,3510,0.149925046,221842.0
FLIPFLOP,MIMIC,"['100', '50', '0.9']",848.0,1670,1224.53561856,184700.0
FLIPFLOP,GA,"['100', '30', '50']",609.0,2700,0.672439117,156424.0
FLIPFLOP,SA,"['0.55']",777.0,2980,0.015673583,2991.0
FLIPFLOP,RHC,"[]",781.0,2820,0.035579177000000003,2831.0
NN,SA,"['/NN', 'SA', '0.9']",0.686046511628,1350,0.494297611,0
NN,GA,"['/NN', 'GA', '50', '20', '1']",0.7282608695649999,1970,18.550473144,0
NN,Backprop,"['/NN', 'Backpro']",0.631578947368,20,0.062405319,0
NN,RHC,"['/NN', 'RH']",0.715909090909,1480,0.614294011,0
TSP,SA,"['0.15']",0.053951839936300004,2900,0.0028900600082100002,2911.0
TSP,GA,"['100', '50', '10']",0.11347773866800001,490,0.172362333009,27414.0
TSP,MIMIC,"['100', '50', '0.1']",0.0325666797493,2850,392.681442432,314500.0
TSP,RHC,"[]",0.0542962562614,2910,0.0028426749940999997,2921.0
